ID,Unlocalised name,Type,Min Level,Max Level,Class
0,enchantment.protect.all,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
1,enchantment.protect.fire,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
2,enchantment.protect.fall,armor_feet,1,4,net.minecraft.enchantment.EnchantmentProtection
3,enchantment.protect.explosion,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
4,enchantment.protect.projectile,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
5,enchantment.oxygen,armor_head,1,3,net.minecraft.enchantment.EnchantmentOxygen
6,enchantment.waterWorker,armor_head,1,1,net.minecraft.enchantment.EnchantmentWaterWorker
7,enchantment.thorns,armor_torso,1,3,net.minecraft.enchantment.EnchantmentThorns
8,enchantment.enderio.soulBound,all,1,1,crazypants.enderio.enchantment.EnchantmentSoulBound
9,enchantment.enderzoo.witherArrow,bow,1,1,crazypants.enderzoo.enchantment.EnchantmentWitherArrow
10,enchantment.enderzoo.witherWeapon,weapon,1,1,crazypants.enderzoo.enchantment.EnchantmentWitherWeapon
16,enchantment.damage.all,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
17,enchantment.damage.undead,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
18,enchantment.damage.arthropods,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
19,enchantment.knockback,weapon,1,2,net.minecraft.enchantment.EnchantmentKnockback
20,enchantment.fire,weapon,1,2,net.minecraft.enchantment.EnchantmentFireAspect
21,enchantment.lootBonus,weapon,1,3,net.minecraft.enchantment.EnchantmentLootBonus
32,enchantment.digging,digger,1,5,net.minecraft.enchantment.EnchantmentDigging
33,enchantment.untouching,digger,1,1,net.minecraft.enchantment.EnchantmentUntouching
34,enchantment.durability,breakable,1,3,net.minecraft.enchantment.EnchantmentDurability
35,enchantment.lootBonusDigger,digger,1,3,net.minecraft.enchantment.EnchantmentLootBonus
43,enchantment.xpboost,breakable,1,3,tterrag.core.common.enchant.EnchantXPBoost
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
61,enchantment.lootBonusFishing,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentLootBonus
62,enchantment.fishingSpeed,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentFishingSpeed
66,enchantment.cluster,digger,1,4,fox.spiteful.forbidden.enchantments.EnchantmentCluster
67,enchantment.wrath,weapon,1,5,fox.spiteful.forbidden.enchantments.EnchantmentWrath
68,enchantment.greedy,weapon,1,1,fox.spiteful.forbidden.enchantments.EnchantmentGreedy
69,enchantment.consuming,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentConsuming
70,enchantment.artifice.invisible,armor,1,1,shukaro.artifice.enchant.EnchantmentInvisible
71,enchantment.artifice.soulstealing,weapon,1,3,shukaro.artifice.enchant.EnchantmentSoulstealing
72,enchantment.artifice.resistance,armor,1,3,shukaro.artifice.enchant.EnchantmentResistance
90,enchantment.paleontology,digger,1,3,mods.fossil.enchantments.EnchantmentPaleontology
91,enchantment.archeology,digger,1,3,mods.fossil.enchantments.EnchantmentArcheology
92,enchantment.corrupting,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentCorrupting
93,enchantment.educational,weapon,1,5,fox.spiteful.forbidden.enchantments.EnchantmentEducational
94,enchantment.impact,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentImpact
95,enchantment.voidtouched,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentVoid
